Round,Description,Round,TotalVCs,NewVCs,InvestRound,TotalInvestSum,TokenPrice,TokenEmissionPrice,TokenPerVC,TokenEmittedInRound,TotalShares,CommunityTokenPool,InvestmentPool,AdminPool,TotalPoolValue
"Initial Launch","Initial token launch with founding members",1,10,10,€10000,€10000,€1.00,1.00,100,1000,1000,500,€5000,€5000,€10000
"Early Adopters","Expansion to early adopters and community builders",2,25,15,€20000,€30000,€1.50,1.50,150,2250,3250,1625,€15000,€15000,€30000
"Community Growth","Focus on community growth and engagement",3,50,25,€40000,€70000,€2.00,2.00,200,5000,8250,4125,€35000,€35000,€70000
"Market Expansion","Expanding to new markets and partnerships",4,100,50,€100000,€170000,€3.00,3.00,300,15000,23250,11625,€85000,€85000,€170000
"Ecosystem Development","Building a sustainable ecosystem",5,200,100,€200000,€370000,€5.00,5.00,500,50000,73250,36625,€185000,€185000,€370000
"Global Adoption","Reaching global adoption milestones",6,350,150,€400000,€770000,€8.00,8.00,800,120000,193250,96625,€385000,€385000,€770000
"Maturity Phase","Reaching maturity and stability",7,500,150,€600000,€1370000,€13.00,13.00,1300,195000,388250,194125,€685000,€685000,€1370000
"Scaling Phase","Scaling operations and infrastructure",8,750,250,€1000000,€2370000,€21.00,21.00,2100,525000,913250,456625,€1185000,€1185000,€2370000
"Expansion Phase","Major expansion and growth",9,1000,250,€1500000,€3870000,€34.00,34.00,3400,850000,1763250,881625,€1935000,€1935000,€3870000
"Maturity Phase II","Second maturity phase with increased stability",10,1500,500,€2500000,€6370000,€55.00,55.00,5500,2750000,4513250,2256625,€3185000,€3185000,€6370000 